id_proyek,kategori,pengaju,kebutuhan_skill_teks
PRJ001,Web Development,Mitra Industri,"ARDUINO, CYBER SECURITY, LARAVEL"
PRJ002,Game Development,Dosen,"SQL, ARDUINO, DATA ANALYSIS"
PRJ003,Mobile Development,Mitra Industri,"FLUTTER, UI UX DESIGN, NODEJS, NLP, JAVASCRIPT"
PRJ004,IoT,Mitra Industri,"DEEP LEARNING, ARDUINO, UI UX DESIGN, TABLEAU, NODEJS"
PRJ005,Mobile Development,Mitra Industri,"javascript, tableau, nextjs, game development, iot"
PRJ006,Game Development,Dosen,"ANDROID, MACHINE LEARNING, CYBER SECURITY, GAME DEVELOPMENT, DEVOPS"
PRJ007,Cyber Security,Dosen,"php, iot, nextjs, sql, laravel"
PRJ008,Cyber Security,Dosen,"ARDUINO, REACT, TABLEAU, GOLANG, FLUTTER"
PRJ009,UI/UX,Dosen,"devops, golang, game development, sql, cyber security"
PRJ010,UI/UX,Dosen,"golang, docker, devops, nodejs"
PRJ011,IoT,Dosen,
PRJ012,Cyber Security,Dosen,"nlp, docker, php, devops"
PRJ013,Cyber Security,Mitra Industri,"flutter, php, nodejs"
PRJ014,Web Development,Mitra Industri,"deep learning, computer vision, flutter, docker"
PRJ015,IoT,Mitra Industri,"php, game development, cyber security"
PRJ016,Web Development,Mitra Industri,"figma, iot, golang"
PRJ017,Data Science,Dosen,"javascript, ui ux design, nextjs, docker, machine learning"
PRJ018,Cyber Security,Mitra Industri,"php, react, laravel, cyber security, tableau"
