id_mahasiswa,program_studi,angkatan,jumlah_repo_github,skill_teks
MHS001,D3 Teknik Informatika,2022,23,"php, arduino, android"
MHS002,D3 Manajemen Informatika,2025,10,"IOT, UI UX DESIGN, REACT, ARDUINO"
MHS003,S1 Sistem Informasi,2024,4,"arduino, sql, flutter"
MHS004,S1 Informatika,2023,20,"GOLANG, SQL, GOLANG"
MHS005,S1 Informatika,2022,15,"machine learning, computer vision, ui ux design, nodejs, php"
MHS006,D3 Manajemen Informatika,2025,17,"NEXTJS, DATA ANALYSIS, DEEP LEARNING"
MHS007,D3 Teknik Informatika,2023,2,"cyber security, php, devops, flutter, nextjs"
MHS008,S1 Sistem Informasi,2025,7,
MHS009,D3 Teknik Informatika,2024,19,"sql, computer vision, nodejs"
MHS010,D3 Teknik Informatika,2025,20,"game development, cyber security, nlp, react"
MHS011,S1 Sistem Informasi,2025,10,"COMPUTER VISION, MACHINE LEARNING, DEVOPS, SQL, ARDUINO"
MHS012,D3 Manajemen Informatika,2022,20,"REACT, JAVASCRIPT, ANDROID"
MHS013,S1 Sistem Informasi,2023,21,"docker, golang, deep learning"
MHS014,D3 Manajemen Informatika,2023,9,"data analysis, python"
MHS015,S1 Sistem Informasi,2023,22,"game development, nodejs, laravel, machine learning"
MHS016,D3 Manajemen Informatika,2022,7,"javascript, data analysis, javascript"
MHS017,S1 Sistem Informasi,2024,5,"NODEJS, DOCKER, PHP"
MHS018,D3 Teknik Informatika,2022,17,"MACHINE LEARNING, ARDUINO, LARAVEL, CYBER SECURITY"
MHS019,D3 Manajemen Informatika,2024,15,"figma, nodejs, flutter, iot"
MHS020,S1 Informatika,2024,3,"figma, docker"
MHS021,S1 Sistem Informasi,2025,20,"ANDROID, MACHINE LEARNING, ARDUINO, DATA ANALYSIS, FLUTTER"
MHS022,S1 Informatika,2024,4,"nlp, tableau, python"
MHS023,D3 Teknik Informatika,2023,20,
MHS024,D3 Manajemen Informatika,2025,0,"php, docker, react"
MHS025,D3 Manajemen Informatika,2023,19,"NLP, DATA ANALYSIS, CYBER SECURITY, PHP"
MHS026,S1 Sistem Informasi,2023,19,"python, nodejs"
MHS027,S1 Informatika,2025,19,"android, tableau, golang"
MHS028,D3 Manajemen Informatika,2023,16,"MACHINE LEARNING, IOT, FIGMA, LARAVEL"
MHS029,S1 Sistem Informasi,2022,11,"flutter, machine learning, python, game development"
MHS030,S1 Informatika,2023,17,"figma, react, data analysis, nextjs, golang"
MHS031,S1 Informatika,2025,6,"NLP, CYBER SECURITY, REACT"
MHS032,D3 Teknik Informatika,2022,19,"ARDUINO, IOT"
MHS033,D3 Teknik Informatika,2023,13,"IOT, TABLEAU"
MHS034,S1 Sistem Informasi,2022,11,"devops, cyber security, ui ux design"
MHS035,D3 Manajemen Informatika,2024,12,"DEEP LEARNING, ANDROID, FIGMA, DOCKER, IOT"
MHS036,D3 Teknik Informatika,2023,14,"python, nodejs, docker"
MHS037,D3 Manajemen Informatika,2023,0,"ui ux design, docker, laravel, flutter, nextjs"
MHS038,D3 Manajemen Informatika,2022,3,"ui ux design, arduino, iot, computer vision, react"
MHS039,S1 Informatika,2024,6,"LARAVEL, UI UX DESIGN, IOT, DEEP LEARNING"
MHS040,S1 Sistem Informasi,2024,2,"nodejs, cyber security, php, figma"
MHS006,D3 Manajemen Informatika,2025,17,"NEXTJS, DATA ANALYSIS, DEEP LEARNING"
